,Entry_Date,Symbol,Entry_Price,Quantity,CostBasis,Exit_Date,Exit_Price,Net_Proceeds,Cap_Total
18,2023-04-25,COP,101.6,9842.0,999947.2,2023-05-01,102.53,1009100.26,867800.0542632001
8,2023-04-25,LYV,66.95,14936.0,999965.2000000001,2023-04-25,66.4,991750.4000000001,950650.0449388002
11,2023-04-26,AMD,86.51,10988.0,950571.88,2023-04-26,85.94,944308.72,901497.9460312
19,2023-04-26,PANW,184.67,5147.0,950496.49,2023-05-01,183.3,943445.1000000001,867800.0542632001
20,2023-04-28,GOOGL,107.04,8232.0,881153.28,2023-05-01,107.2,882470.4,867800.0542632001
21,2023-05-01,GOOGL,106.84,8106.0,866045.04,2023-05-01,107.2,868963.2000000001,867800.0542632001
37,2023-05-04,AMD,81.57,9032.0,736740.24,2023-05-10,97.02,876284.64,979077.8666464996
38,2023-05-04,AMZN,104.04,7081.0,736707.24,2023-05-10,110.19,780255.39,979077.8666464996
39,2023-05-05,AMD,84.99,8802.0,748081.98,2023-05-10,97.02,853970.0399999999,979077.8666464996
34,2023-05-05,COF,87.45,8555.0,748134.75,2023-05-09,89.01,761480.55,938206.1582407001
36,2023-05-09,COP,100.01,9196.0,919691.9600000001,2023-05-09,101.53,933669.88,938206.1582407001
40,2023-05-12,PANW,198.65,4820.0,957493.0,2023-05-12,199.3,960626.0,938631.2434126999
59,2023-05-15,AMD,95.2,9859.0,938576.8,2023-05-19,105.82,1043279.3799999999,1352108.7896595995
60,2023-05-15,NVDA,28.4994,32935.0,938627.7390000001,2023-05-19,31.254,1029350.49,1352108.7896595995
55,2023-05-15,SNPS,368.12,2549.0,938337.88,2023-05-18,409.71,1044350.7899999999,1440297.1228549983
62,2023-05-16,NVDA,28.8317,33311.0,960412.7587,2023-05-22,31.166,1038170.626,1336469.6296569994
57,2023-05-16,SNPS,370.74,2590.0,960216.6,2023-05-18,409.71,1061148.9,1440297.1228549983
69,2023-05-22,WMB,29.19,46320.0,1352080.8,2023-05-25,29.08,1346985.5999999999,1215621.0424467986
65,2023-05-23,GM,33.0,40499.0,1336467.0,2023-05-23,33.42,1353476.58,1326268.4839467984
70,2023-05-23,WMB,29.21,45753.0,1336445.1300000001,2023-05-25,29.08,1330497.24,1215621.0424467986
80,2023-05-25,KMI,16.36,75913.0,1241936.68,2023-06-01,16.26,1234345.3800000001,1154427.7534443992
71,2023-05-25,WMB,28.98,42855.0,1241937.9,2023-05-25,29.08,1246223.4,1215621.0424467986
87,2023-05-30,ORCL,104.9,11119.0,1166383.1,2023-06-05,106.93,1188954.6700000002,1205606.0937872003
76,2023-05-30,TSLA,200.1,5829.0,1166382.9,2023-05-30,201.16,1172561.64,1142889.2663619984
91,2023-05-31,ORCL,104.47,10939.0,1142797.33,2023-06-06,107.1,1171566.9,1211904.0888871998
92,2023-06-01,ORCL,104.88,10784.0,1131025.92,2023-06-06,107.1,1154966.4,1211904.0888871998
93,2023-06-05,ORCL,105.89,11210.0,1187026.9,2023-06-06,107.1,1200591.0,1211904.0888871998
102,2023-06-13,EA,125.76,9058.0,1139134.08,2023-06-15,128.99,1168391.4200000002,1222677.4798996001
101,2023-06-13,HD,302.4,3767.0,1139140.7999999998,2023-06-15,302.02,1137709.3399999999,1222677.4798996001
106,2023-06-13,NKE,107.14,10632.0,1139112.48,2023-06-16,113.59,1207688.8800000001,1219047.6061596004
97,2023-06-13,WMB,30.6,37228.0,1139176.8,2023-06-13,30.48,1134709.44,1131734.2995396005
108,2023-06-15,OKE,60.54,19634.0,1188642.3599999999,2023-06-16,60.95,1196692.3,1219047.6061596004
113,2023-06-15,WMB,30.28,39256.0,1188671.68,2023-06-22,30.57,1200055.92,1059401.3041325998
112,2023-06-20,JPM,142.61,8548.0,1219030.28,2023-06-21,142.32,1216551.3599999999,1094822.2382949998
128,2023-06-23,PSX,90.0,11771.0,1059390.0,2023-06-29,94.53,1112712.6300000001,1311519.7681426005
129,2023-06-26,HAL,31.075,34370.0,1068047.75,2023-06-29,33.19,1140740.2999999998,1311519.7681426005
133,2023-06-26,PSX,91.07,11727.0,1067977.89,2023-06-30,95.38,1118521.26,1324453.9529926006
131,2023-06-27,HAL,31.58,34813.0,1099394.54,2023-06-29,33.19,1155443.47,1311519.7681426005
135,2023-06-27,PSX,91.59,12003.0,1099354.77,2023-07-03,95.66,1148206.98,1365135.1053726021
136,2023-07-03,BKNG,2693.7,491.0,1322606.7,2023-07-03,2720.79,1335907.89,1365135.1053726021
138,2023-07-03,BX,93.21,14209.0,1324420.89,2023-07-03,94.76,1346444.84,1365135.1053726021
139,2023-07-03,JPM,146.19,9059.0,1324335.21,2023-07-05,144.64,1310293.7599999998,1276399.5510126022
150,2023-07-06,COF,107.5,11873.0,1276347.5,2023-07-11,112.2,1332150.6,1403667.1269829022
159,2023-07-07,BAC,28.3,42213.0,1194627.9000000001,2023-07-13,29.67,1252459.71,1470874.744862901
160,2023-07-07,GS,313.2,3814.0,1194544.8,2023-07-13,328.68,1253585.52,1470874.744862901
161,2023-07-07,MPC,113.36,10538.0,1194587.68,2023-07-13,119.92,1263716.96,1470874.744862901
162,2023-07-10,PSX,99.52,12727.0,1266591.04,2023-07-13,102.58,1305535.66,1470874.744862901
171,2023-07-13,MSCI,499.9,2899.0,1449210.0999999999,2023-07-19,507.94,1472518.06,1546367.3451425005
172,2023-07-17,META,307.54,4524.0,1391310.9600000002,2023-07-19,316.01,1429629.24,1546367.3451425005
173,2023-07-18,AMZN,132.71,10496.0,1392924.1600000001,2023-07-19,135.36,1420738.56,1546367.3451425005
180,2023-07-18,PSX,99.03,14066.0,1392955.98,2023-07-24,106.85,1502952.0999999999,1598669.1090169009
183,2023-07-19,MPC,119.46,12040.0,1438298.4,2023-07-25,128.61,1548464.4000000001,1645324.4480869006
187,2023-07-24,CBOE,142.57,10916.0,1556294.1199999999,2023-07-26,143.72,1568847.52,1676529.4057169016
189,2023-07-25,AMZN,129.31,12363.0,1598659.53,2023-07-26,128.15,1584318.4500000002,1676529.4057169016
198,2023-07-25,BKNG,2885.51,554.0,1598572.54,2023-07-31,2970.8,1645823.2000000002,1742042.6906769024
203,2023-07-26,BKNG,2942.43,559.0,1644818.3699999999,2023-08-01,2914.31,1629099.29,1751710.9529369008
207,2023-07-27,MPC,130.68,12829.0,1676493.72,2023-08-02,135.87,1743076.23,1769588.6626569014
210,2023-07-28,MPC,130.09,12566.0,1634710.94,2023-08-03,136.22,1711740.52,1781359.1462769003
212,2023-07-31,MPC,132.03,13228.0,1746492.84,2023-08-04,137.95,1824802.5999999999,1824249.2865769004
229,2023-08-10,AAPL,178.326,10371.0,1849418.946,2023-08-16,175.671,1821883.9409999999,1740008.6525643002
230,2023-08-10,MA,396.46,4665.0,1849485.9,2023-08-16,394.37,1839736.05,1740008.6525643002
231,2023-08-10,MSFT,326.015,5673.0,1849483.095,2023-08-16,320.4,1817629.2,1740008.6525643002
226,2023-08-10,SNPS,435.18,4249.0,1849079.82,2023-08-15,436.74,1855708.26,1797347.7648159005
245,2023-08-18,AAPL,171.423,9547.0,1636575.381,2023-08-23,180.197,1720340.759,1835635.8288224693
250,2023-08-18,BLK,665.23,2460.0,1636465.8,2023-08-24,673.16,1655973.5999999999,1755684.527353229
249,2023-08-18,BX,95.7,17101.0,1636565.7,2023-08-24,99.02,1693341.02,1755684.527353229
237,2023-08-18,CRM,200.97,8143.0,1636498.71,2023-08-21,209.03,1702131.29,1804946.31238247
244,2023-08-21,LULU,382.95,4560.0,1746252.0,2023-08-22,379.42,1730155.2000000002,1749784.2267024703
260,2023-08-23,HAL,38.02,46022.0,1749756.4400000002,2023-08-29,38.75,1783352.5,1764924.7724932283
264,2023-08-24,MPC,142.85,12850.0,1835622.5,2023-08-30,143.14,1839348.9999999998,1782211.376473228
265,2023-08-25,MPC,144.26,12170.0,1755644.2,2023-08-30,143.14,1742013.7999999998,1782211.376473228
269,2023-08-28,PSX,113.26,15590.0,1765723.4000000001,2023-09-01,117.17,1826680.3,1748196.4082332281
272,2023-08-31,OKE,65.7,27126.0,1782178.2000000002,2023-09-05,65.66,1781093.16,1711801.9746132283
271,2023-09-01,COF,103.16,16573.0,1709670.68,2023-09-01,103.5,1715305.5,1748196.4082332281
277,2023-09-06,CBOE,148.61,11518.0,1711689.9800000002,2023-09-12,153.16,1764096.88,1716897.212215228
280,2023-09-14,EOG,134.46,12623.0,1697288.58,2023-09-15,132.18,1668508.1400000001,1613683.4623816288
279,2023-09-14,XOM,117.55,14439.0,1697304.45,2023-09-14,118.52,1711310.28,1710548.9700252283
284,2023-09-18,AMD,100.815,16006.0,1613644.89,2023-09-19,101.61,1626369.66,1596451.9587016283
283,2023-09-18,NKE,96.0,16809.0,1613664.0,2023-09-19,94.62,1590467.58,1596451.9587016283
286,2023-09-19,MSFT,326.17,4971.0,1621391.07,2023-09-19,328.65,1633719.15,1596451.9587016283
287,2023-09-19,NKE,95.04,17062.0,1621572.4800000002,2023-09-20,94.04,1604510.4800000002,1522767.4119390287
289,2023-11-20,GM,28.18,52860.0,1489594.8,2023-11-20,28.52,1507567.2,1508879.0290634288
305,2023-11-20,HD,307.19,4849.0,1489564.31,2023-11-27,310.92,1507651.08,1589954.4100034283
306,2023-11-20,NKE,106.0,14052.0,1489512.0,2023-11-27,107.96,1517053.92,1589954.4100034283
304,2023-11-20,ULTA,406.18,3667.0,1489462.06,2023-11-27,414.75,1520888.25,1589954.4100034283
309,2023-11-21,ULTA,406.0,3716.0,1508696.0,2023-11-28,417.96,1553139.3599999999,1637530.960023428
316,2023-11-27,BKNG,3099.01,506.0,1568099.06,2023-12-01,3159.56,1598737.3599999999,1631511.6545410277
313,2023-11-29,AMD,123.98,13208.0,1637527.84,2023-11-29,123.85,1635810.7999999998,1593880.0493034273
324,2023-11-29,BKNG,3152.55,519.0,1636173.4500000002,2023-12-05,3148.01,1633817.1900000002,1689684.9408610277
326,2023-12-01,COF,111.34,13793.0,1535712.62,2023-12-05,115.32,1590608.76,1689684.9408610277
330,2023-12-01,HD,313.83,4893.0,1535570.19,2023-12-07,326.17,1595949.81,1641618.0397212275
327,2023-12-04,BLK,751.84,2170.0,1631492.8,2023-12-05,754.3,1636831.0,1689684.9408610277
328,2023-12-05,AMZN,143.55,11480.0,1647954.0000000002,2023-12-05,146.88,1686182.4,1689684.9408610277
333,2023-12-11,MSCI,507.71,3233.0,1641426.43,2023-12-13,546.37,1766414.21,1745264.1661512274
334,2023-12-13,AMD,137.97,12165.0,1678405.05,2023-12-13,138.19,1681081.3499999999,1745264.1661512274
342,2023-12-19,MPC,151.87,10919.0,1658268.53,2023-12-21,152.66,1666894.54,1654313.8394002272
350,2023-12-19,VZ,37.6,44105.0,1658348.0,2023-12-26,37.48,1653055.4,1682296.4070902271
349,2023-12-19,WMB,34.75,47722.0,1658339.5,2023-12-26,35.12,1675996.64,1682296.4070902271
338,2023-12-19,XOM,102.0,16258.0,1658316.0,2023-12-19,102.99,1674411.42,1702516.270140227
356,2023-12-21,VZ,37.35,43988.0,1642951.8,2023-12-28,37.49,1649110.12,1691840.4194802279
357,2023-12-26,AMD,140.07,11754.0,1646382.78,2023-12-28,148.76,1748525.0399999998,1691840.4194802279
360,2023-12-27,PANW,300.48,5598.0,1682087.04,2023-12-29,294.88,1650738.24,1679019.8055402287
361,2023-12-28,PANW,296.98,5632.0,1672591.36,2023-12-29,294.88,1660764.16,1679019.8055402287
363,2023-12-29,CBOE,177.85,9512.0,1691709.2,2024-01-02,178.2,1695038.4,1596299.5426822277
364,2024-01-02,CBOE,178.36,9413.0,1678902.6800000002,2024-01-02,178.2,1677396.5999999999,1596299.5426822277
367,2024-01-02,IBM,162.83,10311.0,1678940.1300000001,2024-01-04,160.86,1658627.4600000002,1491937.3295886274
378,2024-01-04,AMD,134.3,11030.0,1481329.0000000002,2024-01-09,149.26,1646337.7999999998,1827912.524333627
383,2024-01-04,CBOE,175.11,8459.0,1481255.4900000002,2024-01-10,175.61,1485484.9900000002,1796502.9036554284
380,2024-01-05,AMD,136.78,10907.0,1491859.46,2024-01-09,149.26,1627978.8199999998,1827912.524333627
389,2024-01-08,AAPL,181.397,8355.0,1515571.9349999998,2024-01-12,185.217,1547488.0350000001,1765255.1891954266
385,2024-01-08,SNPS,490.39,3090.0,1515305.0999999999,2024-01-10,505.18,1561006.2,1796502.9036554284
387,2024-01-11,NFLX,492.54,3647.0,1796293.3800000001,2024-01-11,492.23,1795162.81,1771361.5220154268
390,2024-01-11,XOM,99.04,18139.0,1796486.56,2024-01-12,99.95,1812993.05,1765255.1891954266
391,2024-01-12,PSX,132.51,13367.0,1771261.17,2024-01-12,132.87,1776073.29,1765255.1891954266
404,2024-01-16,BX,118.36,14914.0,1765221.04,2024-01-22,120.97,1804146.58,1697981.6352850273
394,2024-01-17,GM,34.83,47190.0,1643627.7,2024-01-17,35.01,1652121.9,1629985.8414350264
408,2024-01-17,MPC,152.44,10782.0,1643608.08,2024-01-23,153.97,1660104.54,1676488.3715942265
409,2024-01-17,XOM,96.6,17014.0,1643552.4,2024-01-23,97.91,1665840.74,1676488.3715942265
407,2024-01-19,GM,34.59,46404.0,1605114.36,2024-01-22,35.32,1638989.28,1697981.6352850273
411,2024-01-23,NVDA,59.5672,28505.0,1697963.036,2024-01-24,61.3591,1749041.1454999999,1756499.9034942258
429,2024-01-25,BKNG,3519.99,499.0,1756475.0099999998,2024-01-31,3507.47,1750227.5299999998,1733155.0608888362
428,2024-01-25,CMG,46.556,37728.0,1756464.768,2024-01-31,48.1754,1817561.4912,1733155.0608888362
425,2024-01-25,PRU,104.95,16736.0,1756443.2,2024-01-30,106.63,1784559.68,1858149.3560018362
430,2024-01-26,BKNG,3495.94,485.0,1695530.9000000001,2024-01-31,3507.47,1701122.95,1733155.0608888362
427,2024-01-30,NKE,103.34,17565.0,1815167.1,2024-01-30,104.18,1829921.7000000002,1858149.3560018362
431,2024-02-02,EA,137.82,12811.0,1765612.02,2024-02-02,136.64,1750495.0399999998,1740790.6575376366
441,2024-02-02,MA,462.21,3820.0,1765642.2,2024-02-08,458.26,1750553.2,1682429.2364176363
445,2024-02-05,OKE,67.73,25701.0,1740728.7300000002,2024-02-09,69.04,1774397.0400000003,1680746.3848176366
448,2024-02-07,KMI,16.74,99251.0,1661461.7399999998,2024-02-12,16.78,1665431.78,1718425.1614716367
450,2024-02-07,OKE,68.26,24340.0,1661448.4000000001,2024-02-13,69.48,1691143.2000000002,1719699.3732016361
454,2024-02-13,PANW,359.12,4785.0,1718389.2,2024-02-15,366.88,1755520.8,1683341.0859376367
455,2024-02-14,PANW,368.81,4662.0,1719392.22,2024-02-15,366.88,1710394.56,1683341.0859376367
465,2024-02-16,WMB,34.24,49162.0,1683306.8800000001,2024-02-23,34.94,1717720.2799999998,1671520.0830145814
463,2024-02-21,AMD,162.74,9120.0,1484188.8,2024-02-22,181.86,1658563.2000000002,1745342.7142748842
470,2024-02-21,OKE,71.91,20641.0,1484294.3099999998,2024-02-27,74.37,1535071.1700000002,1713640.3082717806
475,2024-02-22,IBM,182.45,8510.0,1552649.5,2024-02-28,185.3,1576903.0,1678483.0544017823
480,2024-02-27,EOG,113.0,14550.0,1644150.0,2024-03-01,116.1,1689255.0,1685363.7296800036
478,2024-02-27,NKE,104.83,15684.0,1644153.72,2024-02-28,104.35,1636625.4,1678483.0544017823
476,2024-02-27,PARA,11.0724,148497.0,1644218.1828,2024-02-28,11.0127,1635352.9119000002,1678483.0544017823
481,2024-03-01,COP,113.8,14461.0,1645661.8,2024-03-01,114.24,1652024.64,1685363.7296800036
483,2024-03-01,CVX,153.05,10752.0,1645593.6,2024-03-01,152.81,1643013.12,1685363.7296800036
484,2024-03-01,MSFT,411.27,4001.0,1645491.27,2024-03-04,414.92,1660094.9200000002,1610667.7340088044
491,2024-03-04,MPC,172.71,9758.0,1685304.1800000002,2024-03-08,179.55,1752048.9000000001,1516112.2517510029
492,2024-03-07,CMG,54.2,28619.0,1551149.8,2024-03-08,53.7224,1537481.3656,1516112.2517510029
499,2024-03-07,HD,377.87,4105.0,1551156.35,2024-03-13,378.99,1555753.95,1544346.6980650034
501,2024-03-08,HD,375.0,4091.0,1534125.0,2024-03-14,375.27,1535229.5699999998,1512317.094715003
513,2024-03-15,GM,39.27,38510.0,1512287.7000000002,2024-03-21,43.42,1672104.2,1763038.7952850023
516,2024-03-19,EOG,123.52,12471.0,1540417.92,2024-03-21,126.08,1572343.68,1763038.7952850023
521,2024-03-19,MPC,193.55,7959.0,1540464.4500000002,2024-03-25,199.83,1590446.9700000002,1686506.981445003
518,2024-03-19,PSX,156.85,9821.0,1540423.8499999999,2024-03-22,159.45,1565958.45,1745565.1650450025
520,2024-03-20,PSX,156.18,10256.0,1601782.08,2024-03-22,159.45,1635319.2,1745565.1650450025
526,2024-04-01,AAPL,170.76,9753.0,1665422.2799999998,2024-04-05,169.154,1649758.962,1648107.743745003
530,2024-04-08,BAC,37.2,44303.0,1648071.6,2024-04-09,37.73,1671552.19,1618200.5141900023
535,2024-04-08,KMI,18.48,89183.0,1648101.84,2024-04-11,18.35,1636508.05,1486326.0222400026
531,2024-04-09,BAC,37.51,42616.0,1598526.16,2024-04-09,37.73,1607901.68,1618200.5141900023
536,2024-04-09,JPM,198.07,8070.0,1598424.9,2024-04-11,195.43,1577120.1,1486326.0222400026
539,2024-04-11,GM,43.9,33914.0,1488824.5999999999,2024-04-12,43.08,1461015.1199999999,1369336.9037770017
537,2024-04-11,JPM,196.0,7596.0,1488816.0,2024-04-11,195.43,1484486.28,1486326.0222400026
541,2024-04-16,CMG,58.657,21792.0,1278253.3439999998,2024-04-16,58.8466,1282385.1072,1295414.4237085823
542,2024-04-16,MSCI,513.2,2490.0,1277868.0,2024-04-16,513.43,1278440.7,1295414.4237085823
543,2024-04-16,NVDA,86.4325,14789.0,1278250.2425000002,2024-04-16,87.415,1292780.435,1295414.4237085823
540,2024-04-16,TSLA,156.742,8155.0,1278231.01,2024-04-16,157.11,1281232.05,1295414.4237085823
