,Entry_Date,Symbol,Entry_Price,Quantity,CostBasis,Exit_Date,Exit_Price,Net_Proceeds,Cap_Total
10,2016-08-25,COP,35.9223,11135.0,399994.8105,2016-08-25,35.8228,398886.878,986277.6563755795
37,2016-08-25,CVX,78.2302,5113.0,399991.01259999996,2016-08-31,76.9162,393272.5306,962600.924748214
24,2016-08-25,EOG,75.1964,5319.0,399969.6516,2016-08-29,75.5604,401905.7676,993330.9635711699
36,2016-08-25,OKE,31.3474,12760.0,399992.824,2016-08-31,31.1478,397445.928,962600.924748214
39,2016-08-25,PSX,61.0144,6555.0,399949.392,2016-08-31,61.4512,402812.616,962600.924748214
22,2016-08-25,WMB,19.5115,20500.0,399985.75000000006,2016-08-29,19.5528,400832.4,993330.9635711699
38,2016-08-25,XOM,64.6212,6189.0,399940.6068,2016-08-31,63.9793,395967.8877,962600.924748214
28,2016-08-26,WMB,19.5404,20189.0,394501.13560000004,2016-08-29,19.5528,394751.4792,993330.9635711699
35,2016-08-29,COP,35.3183,10946.0,386594.1118,2016-08-30,35.3629,387082.30340000003,983192.2017284497
30,2016-08-29,WMB,19.3235,20007.0,386605.2645,2016-08-29,19.5528,391192.86960000003,993330.9635711699
64,2016-08-31,AAPL,24.3638,16141.0,393256.0958,2016-09-07,24.9891,403349.0631,999534.8614365521
65,2016-09-01,AAPL,24.4794,15729.0,385036.4826,2016-09-07,24.9891,393053.5539,999534.8614365521
72,2016-09-01,BKNG,1422.5,270.0,384075.0,2016-09-08,1445.83,390374.1,977332.2118715621
71,2016-09-01,CMCSA,28.8638,13339.0,385014.2282,2016-09-08,29.108,388271.612,977332.2118715621
56,2016-09-01,EA,80.5527,4779.0,384961.3533,2016-09-06,82.8548,395963.0892,998644.6339206719
68,2016-09-02,AAPL,24.833,15585.0,387022.305,2016-09-07,24.9891,389455.1235,999534.8614365521
61,2016-09-02,EA,81.3222,4759.0,387012.34979999997,2016-09-06,82.8548,394305.99319999997,998644.6339206719
73,2016-09-02,PSX,61.8599,6256.0,386995.5344,2016-09-08,62.7323,392453.2688,977332.2118715621
74,2016-09-06,PSX,62.1044,6330.0,393120.852,2016-09-08,62.7323,397095.45900000003,977332.2118715621
63,2016-09-06,TSLA,13.268,29630.0,393130.84,2016-09-06,13.5213,400636.119,998644.6339206719
79,2016-09-08,CMCSA,29.1306,13724.0,399788.3544,2016-09-12,28.9348,397101.1952,951543.9792211242
77,2016-09-08,EOG,78.9091,5066.0,399753.50059999997,2016-09-08,79.1163,400803.17579999997,977332.2118715621
75,2016-09-08,OKE,33.5192,11927.0,399783.4984,2016-09-08,33.8778,404060.5206,977332.2118715621
82,2016-09-12,AMD,5.83,61413.0,358037.79,2016-09-12,5.94,364793.22000000003,951543.9792211242
87,2016-09-12,AMZN,37.8675,9455.0,358037.2125,2016-09-12,38.5745,364721.8975,951543.9792211242
108,2016-09-12,CMCSA,28.5724,12531.0,358040.74439999997,2016-09-16,28.9987,363382.7097,940620.4859513794
109,2016-09-12,EA,78.7823,4544.0,357986.7712,2016-09-16,81.9058,372179.95519999997,940620.4859513794
85,2016-09-12,LYV,25.6,13985.0,358016.0,2016-09-12,26.2,366407.0,951543.9792211242
107,2016-09-12,SBUX,47.5908,7523.0,358025.5884,2016-09-16,47.4337,356843.72510000004,940620.4859513794
80,2016-09-12,T,20.369,17577.0,358025.913,2016-09-12,20.9566,368354.1582,951543.9792211242
81,2016-09-12,VZ,38.8513,9215.0,358014.7295,2016-09-12,39.467,363688.40499999997,951543.9792211242
97,2016-09-14,AMD,5.75,62591.0,359898.25,2016-09-14,6.04,378049.64,922283.9263319189
121,2016-09-14,EA,80.1762,4488.0,359830.7856,2016-09-20,82.0053,368039.78640000004,908299.5282381461
118,2016-09-14,NVDA,1.47635,243777.0,359900.17395,2016-09-19,1.56633,381835.22841,925199.3729971454
110,2016-09-14,PARA,43.5427,8265.0,359880.4155,2016-09-16,43.5088,359600.232,940620.4859513794
96,2016-09-14,ULTA,237.31,1516.0,359761.96,2016-09-14,237.27,359701.32,922283.9263319189
113,2016-09-15,PARA,43.7427,8433.0,368882.1891,2016-09-16,43.5088,366909.7104,940620.4859513794
119,2016-09-15,XOM,62.1656,5934.0,368890.6704,2016-09-19,61.548,365225.832,925199.3729971454
115,2016-09-16,COP,33.175,11504.0,381645.19999999995,2016-09-16,33.3876,384090.9504,940620.4859513794
127,2016-09-16,HAL,36.4689,10465.0,381647.03849999997,2016-09-21,38.211,399878.115,949053.0233505461
133,2016-09-20,COP,32.9353,11236.0,370061.03079999995,2016-09-22,34.35,385956.60000000003,941123.2762205941
129,2016-09-20,EOG,74.7481,4951.0,370077.8431,2016-09-21,77.5317,383859.44670000003,949053.0233505461
128,2016-09-20,HAL,36.951,10015.0,370064.265,2016-09-21,38.211,382683.165,949053.0233505461
124,2016-09-20,NFLX,98.78,3746.0,370029.88,2016-09-20,98.24,368007.04,908299.5282381461
135,2016-09-21,CRM,73.22,4962.0,363317.64,2016-09-22,74.59,370115.58,941123.2762205941
139,2016-09-21,PRU,61.4545,5912.0,363319.004,2016-09-23,61.3619,362771.5528,895057.8951582576
142,2016-09-22,BAC,13.7936,27521.0,379613.6656,2016-09-23,13.6452,375529.5492,895057.8951582576
155,2016-09-22,NFLX,95.54,3973.0,379580.42000000004,2016-09-28,97.48,387288.04000000004,929709.5175708025
144,2016-09-22,PRU,61.7365,5986.0,369554.68899999995,2016-09-26,60.6552,363082.0272,847309.6395746547
156,2016-09-23,PRU,61.9663,5986.0,370930.2718,2016-09-28,62.3649,373316.2914,929709.5175708025
182,2016-09-27,AAPL,26.0536,13008.0,338905.2288,2016-10-03,25.9492,337547.1936,910660.0553701622
179,2016-09-27,CRM,69.97,4843.0,338864.71,2016-10-03,70.52,341528.36,910660.0553701622
183,2016-09-27,CVX,75.1284,4511.0,338904.2124,2016-10-03,78.3471,353423.7681,910660.0553701622
158,2016-09-27,GS,142.977,2370.0,338855.49,2016-09-28,145.398,344593.26,929709.5175708025
180,2016-09-27,HAL,36.6006,9260.0,338921.556,2016-10-03,40.1649,371926.97400000005,910660.0553701622
181,2016-09-27,XOM,60.6378,5589.0,338904.6642,2016-10-03,63.9112,357199.6968,910660.0553701622
189,2016-09-28,AAPL,26.2178,13276.0,348067.5128,2016-10-04,26.0536,345887.59359999996,928866.1318300816
194,2016-09-29,AAPL,26.0933,14252.0,371881.7116,2016-10-05,26.0666,371501.1832,919363.1379564514
202,2016-09-30,ULTA,238.87,1511.0,360932.57,2016-10-06,241.57,365012.27,930436.5771787006
193,2016-10-03,CRM,71.15,5197.0,369766.55000000005,2016-10-04,72.63,377458.11,928866.1318300816
203,2016-10-03,ULTA,236.81,1561.0,369660.41000000003,2016-10-06,241.57,377090.76999999996,930436.5771787006
199,2016-10-05,EA,84.5435,4394.0,371484.13899999997,2016-10-05,84.4558,371098.7852,919363.1379564514
223,2016-10-05,GOOGL,40.3,9219.0,371525.69999999995,2016-10-11,40.4785,373171.2915,848363.1854406159
222,2016-10-05,GS,145.301,2557.0,371534.65699999995,2016-10-11,150.397,384565.12899999996,848363.1854406159
198,2016-10-05,MPC,33.5203,11084.0,371539.0052,2016-10-05,33.864,375348.57599999994,919363.1379564514
214,2016-10-05,NFLX,103.5,3589.0,371461.5,2016-10-10,103.34,370887.26,908598.4637083306
217,2016-10-06,NFLX,104.97,3503.0,367709.91,2016-10-10,103.34,362000.02,908598.4637083306
219,2016-10-07,COF,65.7196,5663.0,372170.0948,2016-10-10,65.8897,373133.37110000005,908598.4637083306
218,2016-10-07,NFLX,103.98,3579.0,372144.42000000004,2016-10-10,103.34,369853.86,908598.4637083306
221,2016-10-10,MPC,34.0309,10824.0,368350.46160000004,2016-10-10,34.0231,368266.0344,908598.4637083306
220,2016-10-10,NFLX,103.18,3570.0,368352.60000000003,2016-10-10,103.34,368923.8,908598.4637083306
229,2016-10-12,BX,17.6213,19257.0,339333.3741,2016-10-13,17.2731,332628.0867,811066.6013522006
227,2016-10-12,CRM,72.26,4696.0,339332.96,2016-10-12,72.23,339192.08,838290.8206553769
231,2016-10-12,KMI,15.1397,22414.0,339341.23579999997,2016-10-13,14.9798,335757.2372,811066.6013522006
234,2016-10-12,MSFT,52.2552,6494.0,339345.2688,2016-10-18,52.7585,342613.69899999996,810776.2249074826
226,2016-10-12,NVDA,1.62027,209437.0,339344.48799,2016-10-12,1.63424,342270.32288,838290.8206553769
264,2016-11-21,BAC,17.6755,18329.0,323974.23949999997,2016-11-25,18.3432,336212.51279999997,842553.7202712679
270,2016-11-21,CBOE,63.1663,5129.0,323979.9527,2016-11-28,62.9847,323048.52629999997,806499.8603998341
242,2016-11-21,EOG,78.8969,4106.0,323950.6714,2016-11-21,79.4555,326244.283,819403.8539739945
272,2016-11-21,GS,188.138,1722.0,323973.636,2016-11-28,187.119,322218.918,806499.8603998341
240,2016-11-21,HAL,44.7586,7238.0,323962.7468,2016-11-21,44.8111,324342.7418,819403.8539739945
271,2016-11-21,JPM,65.969,4911.0,323973.75899999996,2016-11-28,66.2402,325305.6222,806499.8603998341
273,2016-11-21,NKE,47.731,6787.0,323950.297,2016-11-28,47.74,324011.38,806499.8603998341
263,2016-11-21,OKE,34.3826,9423.0,323987.2398,2016-11-25,36.159,340726.257,842553.7202712679
267,2016-11-22,BAC,17.9808,18228.0,327754.02239999996,2016-11-25,18.3432,334359.8496,842553.7202712679
276,2016-11-22,CBOE,63.0577,5197.0,327710.86689999996,2016-11-29,63.1378,328127.1466,817573.2464432837
281,2016-11-23,CBOE,62.489,5199.0,324880.311,2016-11-30,63.4626,329942.0574,816646.1622512969
269,2016-11-25,BX,19.1677,17127.0,328285.1979,2016-11-25,19.5658,335103.4566,842553.7202712679
278,2016-11-29,LULU,57.48,5612.0,322577.76,2016-11-29,58.32,327291.84,817573.2464432837
280,2016-11-29,T,20.6229,15642.0,322583.4018,2016-11-29,20.5688,321737.16959999996,817573.2464432837
299,2016-11-29,XOM,63.2693,5098.0,322546.8914,2016-12-05,64.7962,330331.0276,829046.0675661862
285,2016-11-30,COP,38.9954,8386.0,327015.42439999996,2016-11-30,40.8645,342689.697,816646.1622512969
301,2016-11-30,HD,112.353,2910.0,326947.23,2016-12-05,112.658,327834.78,829046.0675661862
308,2016-11-30,XOM,64.8837,5040.0,327013.848,2016-12-06,64.8555,326871.72000000003,851427.6592621063
315,2016-12-01,AAPL,25.5798,12770.0,326654.046,2016-12-07,25.7369,328660.213,919922.7423003223
302,2016-12-01,HD,112.353,2907.0,326610.171,2016-12-05,112.658,327496.806,829046.0675661862
325,2016-12-02,AAPL,25.3011,12774.0,323196.2514,2016-12-08,25.9875,331964.325,899644.6498679915
316,2016-12-02,NVDA,2.12503,152093.0,323202.18779000005,2016-12-07,2.34255,356285.45715000003,919922.7423003223
324,2016-12-02,T,20.2365,15971.0,323197.14149999997,2016-12-08,21.054,336253.43399999995,899644.6498679915
319,2016-12-05,NVDA,2.21722,146396.0,324592.13912,2016-12-07,2.34255,342939.9498,919922.7423003223
335,2016-12-06,T,20.2036,16413.0,331601.6868,2016-12-12,21.4251,351650.1663,898040.3187427758
322,2016-12-07,NVDA,2.28752,148882.0,340570.55264,2016-12-07,2.34255,348763.52910000004,919922.7423003223
342,2016-12-07,T,20.5746,16552.0,340550.7792,2016-12-13,21.5487,356674.0824,950449.197607486
343,2016-12-07,TSLA,12.41,27443.0,340567.63,2016-12-13,13.21,362522.03,950449.197607486
352,2016-12-09,NKE,48.6185,7401.0,359825.5185,2016-12-14,48.6443,360016.4643,940907.2233052911
356,2016-12-09,T,20.9881,17145.0,359840.9745,2016-12-15,21.6227,370721.19149999996,948398.066238371
345,2016-12-09,VZ,38.7929,9276.0,359842.9404,2016-12-13,39.7584,368798.9184,950449.197607486
361,2016-12-12,TSLA,12.8533,28010.0,360020.933,2016-12-16,13.4993,378115.393,962146.3964487956
358,2016-12-13,NVDA,2.21971,161830.0,359215.6693,2016-12-15,2.43247,393646.6201,948398.066238371
363,2016-12-13,TSLA,12.8787,27892.0,359212.70040000003,2016-12-19,13.5153,376968.7476,957536.1996719656
349,2016-12-13,WMB,21.3397,16833.0,359211.1701,2016-12-13,21.4678,361367.47740000003,950449.197607486
360,2016-12-15,FTNT,5.952,63233.0,376362.816,2016-12-15,5.992,378892.136,948398.066238371
394,2016-12-19,CRM,70.0,5497.0,384790.0,2016-12-23,69.87,384075.39,945296.2996975877
392,2016-12-19,DIS,101.22,3802.0,384838.44,2016-12-23,100.69,382823.38,945296.2996975877
380,2016-12-19,LULU,66.0,5831.0,384846.0,2016-12-21,66.97,390502.07,970556.9284975147
395,2016-12-19,LYV,26.68,14424.0,384832.32,2016-12-23,27.24,392909.75999999995,945296.2996975877
371,2016-12-19,MPC,40.1379,9588.0,384842.1852,2016-12-20,39.8874,382440.3912,991708.356129976
373,2016-12-19,NKE,47.8192,8048.0,384848.9216,2016-12-20,48.6443,391489.3264,991708.356129976
393,2016-12-19,VZ,39.8467,9658.0,384839.4286,2016-12-23,40.7597,393657.1826,945296.2996975877
384,2016-12-20,BX,21.4291,17873.0,383002.30429999996,2016-12-21,21.0027,375381.2571,970556.9284975147
385,2016-12-21,BX,21.1944,18716.0,396674.39040000003,2016-12-21,21.0027,393086.5332,970556.9284975147
401,2016-12-21,CRM,69.96,5670.0,396673.19999999995,2016-12-27,69.85,396049.49999999994,945412.6431843272
409,2016-12-23,AMZN,38.2275,9886.0,377917.065,2016-12-29,38.2575,378213.645,909579.617077617
399,2016-12-23,BX,20.5967,18350.0,377949.44499999995,2016-12-23,20.7376,380534.96,945296.2996975877
402,2016-12-23,META,117.0,3230.0,377910.0,2016-12-27,118.01,381172.3,945412.6431843272
408,2016-12-23,SBUX,50.801,7439.0,377908.639,2016-12-29,49.942,371518.538,909579.617077617
415,2016-12-28,FTNT,6.046,62547.0,378159.162,2016-12-30,6.024,376783.128,872571.02089658
411,2016-12-29,AMZN,38.62,9499.0,366851.38,2016-12-29,38.2575,363407.9925,909579.617077617
413,2016-12-29,CRM,68.85,5328.0,366832.8,2016-12-29,69.15,368431.2,909579.617077617
427,2016-12-29,KMI,15.1921,24148.0,366858.8308,2017-01-05,15.9064,384107.7472,937329.9453005884
414,2016-12-29,META,117.0,3135.0,366795.0,2016-12-29,116.35,364757.25,909579.617077617
435,2016-12-30,KMI,15.1853,23959.0,363824.6027,2017-01-06,15.9918,383147.5362,956385.7972739488
444,2017-01-03,KMI,15.3403,22752.0,349022.5056,2017-01-09,15.8658,360978.6816,931850.6363553284
437,2017-01-03,NKE,48.8347,7147.0,349021.60089999996,2017-01-06,50.6355,361891.9185,956385.7972739488
422,2017-01-03,XOM,67.3587,5181.0,348985.4247,2017-01-03,67.3208,348789.06480000005,913536.1447115882
447,2017-01-05,CBOE,69.6789,5295.0,368949.7755,2017-01-09,68.647,363485.86500000005,931850.6363553284
445,2017-01-05,NFLX,129.22,2855.0,368923.1,2017-01-09,130.95,373862.24999999994,931850.6363553284
440,2017-01-05,PANW,42.68,8645.0,368968.6,2017-01-06,45.0167,389169.3715,956385.7972739488
446,2017-01-05,TSLA,15.0947,24444.0,368974.8468,2017-01-09,15.4187,376894.70279999997,931850.6363553284
448,2017-01-06,CBOE,69.9465,5360.0,374913.24,2017-01-09,68.647,367947.92000000004,931850.6363553284
449,2017-01-06,NFLX,132.08,2838.0,374843.04000000004,2017-01-09,130.95,371636.1,931850.6363553284
480,2017-01-10,SNPS,60.34,6177.0,372720.18,2017-01-17,60.74,375190.98000000004,878031.2999211196
490,2017-01-11,AMZN,39.683,9045.0,358932.735,2017-01-18,40.374,365182.83,884952.8256439893
476,2017-01-11,BAC,20.2443,17732.0,358971.9276,2017-01-13,20.3073,360089.04360000003,925873.5772091579
472,2017-01-11,BX,22.0355,16290.0,358958.295,2017-01-13,22.1735,361206.315,925873.5772091579
488,2017-01-11,CRM,74.27,4833.0,358946.91,2017-01-18,75.78,366244.74,884952.8256439893
486,2017-01-11,IBM,125.796,2853.0,358895.988,2017-01-18,126.333,360428.049,884952.8256439893
478,2017-01-11,JPM,73.5034,4883.0,358917.1022,2017-01-13,73.7332,360039.2156,925873.5772091579
487,2017-01-11,PSX,66.2311,5419.0,358906.3309,2017-01-18,66.4058,359853.0302,884952.8256439893
489,2017-01-11,SNPS,60.66,5917.0,358925.22,2017-01-18,60.76,359516.92,884952.8256439893
479,2017-01-12,BX,22.2389,16654.0,370366.64060000004,2017-01-13,22.1735,369277.469,925873.5772091579
516,2017-01-18,CBOE,69.1447,5079.0,351185.9313,2017-01-24,70.7306,359240.71739999996,905844.5040382394
515,2017-01-18,DIS,102.4,3429.0,351129.60000000003,2017-01-24,103.33,354318.57,905844.5040382394
517,2017-01-18,LYV,27.58,12734.0,351203.72,2017-01-24,27.88,355023.92,905844.5040382394
524,2017-01-19,AAPL,27.6775,12789.0,353967.5475,2017-01-25,28.2503,361293.0867,936847.9361582496
532,2017-01-20,AAPL,27.9145,12591.0,351471.4695,2017-01-26,28.2631,355860.69210000004,946519.4110945803
528,2017-01-20,CRM,75.76,4639.0,351450.64,2017-01-25,78.47,364022.33,936847.9361582496
531,2017-01-20,MSCI,76.6473,4585.0,351427.8705,2017-01-26,78.5574,360185.679,946519.4110945803
533,2017-01-20,SNPS,60.89,5772.0,351457.08,2017-01-26,62.2,359018.4,946519.4110945803
539,2017-01-23,MSCI,76.6185,4589.0,351602.2965,2017-01-27,77.8529,357266.95810000005,929864.6964384308
545,2017-01-25,MSCI,77.961,4647.0,362284.767,2017-01-30,78.6495,365484.2265,931864.085971215
543,2017-01-26,AMD,10.35,36206.0,374732.1,2017-01-27,10.67,386318.02,929864.6964384308
546,2017-01-26,MSCI,77.7398,4820.0,374705.836,2017-01-30,78.6495,379090.59,931864.085971215
541,2017-01-26,NKE,50.8259,7372.0,374688.53479999996,2017-01-27,49.9631,368327.9732,929864.6964384308
547,2017-01-27,NKE,50.4222,7508.0,378569.87759999995,2017-01-30,49.8561,374319.5988,931864.085971215
550,2017-01-30,BKNG,1598.65,232.0,370886.80000000005,2017-01-30,1602.31,371735.92,931864.085971215
553,2017-01-30,EA,81.9755,4537.0,371922.84349999996,2017-01-31,82.4385,374023.4745,910043.8677584783
