Date,Open,High,Low,Close,Volume
2013-01-02,0.289927,0.293842,0.288777,0.293602,518634571.23995
2013-01-03,0.293842,0.297098,0.290426,0.293842,323729110.96599
2013-01-04,0.294301,0.304407,0.293342,0.303459,568630488.38423
2013-01-07,0.303229,0.304159,0.292672,0.29474,661522659.37348
2013-01-08,0.295438,0.296398,0.28628,0.288307,505191422.92314
2013-01-09,0.290645,0.292022,0.279978,0.281836,752805892.68203
2013-01-10,0.284444,0.285831,0.280738,0.282336,548455918.56001
2013-01-11,0.283295,0.283745,0.27904,0.281836,555823087.32328
2013-01-14,0.283745,0.283745,0.278381,0.281636,331088580.07355
2013-01-15,0.280238,0.280238,0.274885,0.276482,407173253.69996
2013-01-16,0.276742,0.281406,0.276043,0.27904,365421384.96572
2013-01-17,0.279978,0.283965,0.27928,0.282806,629092941.03804
2013-01-18,0.282806,0.282806,0.277441,0.280937,430111198.92206
2013-01-22,0.280738,0.283295,0.278161,0.279539,333839319.62552
2013-01-23,0.280478,0.280738,0.276992,0.279978,456885455.05179
2013-01-24,0.27904,0.282556,0.277681,0.281406,430087879.67867
2013-01-25,0.281836,0.28673,0.280478,0.28653,426659300.08459
2013-01-28,0.287857,0.292922,0.28713,0.291123,457603885.99672
2013-01-29,0.289927,0.290645,0.283745,0.284924,421304214.56482
2013-01-30,0.285143,0.289007,0.283295,0.284444,311492035.1187
2013-01-31,0.284444,0.287598,0.281176,0.283056,509739536.46349
2013-02-01,0.284224,0.28653,0.283056,0.285601,312830924.14617
2013-02-04,0.283965,0.289707,0.280478,0.280738,554278159.91434
2013-02-05,0.282076,0.288777,0.281176,0.28713,397820204.55274
2013-02-06,0.280238,0.28713,0.278611,0.284924,574876911.68193
2013-02-07,0.283965,0.28628,0.280937,0.283745,476615777.77002
2013-02-08,0.285601,0.287857,0.283745,0.285601,332771760.85848
2013-02-11,0.287857,0.291822,0.285143,0.288777,442245045.31495
2013-02-12,0.28628,0.289927,0.285831,0.28693,300914149.97168
