,Entry_Date,Symbol,Entry_Price,Quantity,CostBasis,Exit_Date,Exit_Price,Net_Proceeds,Cap_Total
40,2018-05-21,GM,34.9533,11443.0,399970.61189999996,2018-05-25,35.0807,401428.4501,986994.7578195613
10,2018-05-21,GOOGL,53.95,7414.0,399985.30000000005,2018-05-21,54.2005,401842.507,995067.3498790995
11,2018-05-21,HD,168.202,2378.0,399984.35599999997,2018-05-21,169.606,403323.06799999997,995067.3498790995
24,2018-05-21,KMI,12.3324,32434.0,399989.0616,2018-05-23,12.3935,401970.779,997400.8969401498
41,2018-05-21,LULU,103.49,3865.0,399988.85,2018-05-25,106.18,410385.7,986994.7578195613
42,2018-05-21,MA,186.951,2139.0,399888.189,2018-05-25,186.622,399184.45800000004,986994.7578195613
43,2018-05-21,MSFT,92.1723,4339.0,399935.60970000003,2018-05-25,93.4648,405543.7672,986994.7578195613
35,2018-05-21,NKE,68.2428,5861.0,399971.0508,2018-05-24,68.9113,403889.1293,993007.5827125502
46,2018-05-23,CBOE,97.2913,4015.0,390624.56950000004,2018-05-25,96.2486,386438.12899999996,986994.7578195613
53,2018-05-23,HD,167.201,2336.0,390581.53599999996,2018-05-30,168.144,392784.384,962949.1782937702
52,2018-05-23,MA,186.204,2097.0,390469.788,2018-05-30,187.211,392581.467,962949.1782937702
50,2018-05-24,CBOE,96.5844,4130.0,398893.572,2018-05-29,95.2127,393228.451,950790.5532908214
51,2018-05-29,CBOE,96.1439,4106.0,394766.8534,2018-05-29,95.2127,390943.34619999997,950790.5532908214
56,2018-05-30,CMG,8.6788,43821.0,380313.69480000006,2018-05-30,8.7322,382653.73620000004,962949.1782937702
77,2018-05-30,HD,166.132,2289.0,380276.148,2018-06-05,172.501,394854.789,942879.1815059702
70,2018-05-30,TSLA,18.886,20137.0,380307.382,2018-06-04,19.7827,398364.2299,957249.381766282
60,2018-05-30,WMB,19.9982,19017.0,380305.7694,2018-05-31,20.0087,380505.4479,925548.1681944006
85,2018-05-31,MSCI,155.104,2483.0,385123.232,2018-06-06,158.35,393183.05,990002.6632672097
88,2018-06-01,CMCSA,28.4227,13025.0,370205.6675,2018-06-06,29.2655,381183.1375,990002.6632672097
93,2018-06-01,DIS,96.949,3818.0,370151.282,2018-06-07,99.65,380463.7,1008326.7847417705
87,2018-06-01,NFLX,353.88,1046.0,370158.48,2018-06-06,367.45,384352.7,990002.6632672097
65,2018-06-01,PANW,70.0,5288.0,370160.0,2018-06-01,69.73,368732.24000000005,934848.246024061
90,2018-06-04,CMCSA,28.3854,13173.0,373920.8742,2018-06-06,29.2655,385514.4315,990002.6632672097
99,2018-06-04,PARA,42.8542,8725.0,373902.89499999996,2018-06-08,43.8946,382980.38499999995,996357.2394290704
101,2018-06-05,PARA,43.0269,8899.0,382896.3831,2018-06-11,44.6309,397170.37909999996,1010564.7711499804
96,2018-06-06,KMI,12.9286,29171.0,377140.1906,2018-06-07,13.0584,380926.58640000003,1008326.7847417705
97,2018-06-07,KMI,12.8394,30842.0,395992.77479999996,2018-06-07,13.0584,402747.1728,1008326.7847417705
98,2018-06-07,WMB,19.5732,20231.0,395985.4092,2018-06-07,19.9345,403294.8695,1008326.7847417705
105,2018-06-11,CMCSA,28.9929,13746.0,398536.4034,2018-06-12,29.3669,403677.4074,1010521.4921022304
117,2018-06-11,LYV,45.82,8698.0,398542.36,2018-06-15,46.93,408197.14,930370.2973322377
102,2018-06-11,VZ,40.3566,9875.0,398521.425,2018-06-11,40.2022,396996.725,1010564.7711499804
109,2018-06-12,ORCL,44.7389,8940.0,399965.766,2018-06-13,44.7904,400426.176,991722.2751331805
128,2018-06-13,KMI,12.945,30899.0,399987.555,2018-06-19,13.2805,410354.1695,975791.7053962187
110,2018-06-13,ORCL,44.6438,8959.0,399963.8042,2018-06-13,44.7904,401277.1936,991722.2751331805
116,2018-06-14,CVX,104.228,3805.0,396587.54,2018-06-14,103.505,393836.52499999997,957970.8292437394
137,2018-06-14,KMI,12.853,30863.0,396682.13899999997,2018-06-20,13.3899,413252.48370000004,979124.5700089007
115,2018-06-14,XOM,64.2914,6170.0,396677.93799999997,2018-06-14,64.2535,396444.09500000003,957970.8292437394
130,2018-06-15,VZ,38.9532,9837.0,383182.62840000005,2018-06-19,39.5486,389039.5782,975791.7053962187
140,2018-06-18,COP,57.0147,6527.0,372134.9469,2018-06-20,58.6633,382895.3591,979124.5700089007
