,Entry_Date,Symbol,Entry_Price,Quantity,CostBasis,Exit_Date,Exit_Price,Net_Proceeds,Cap_Total
14,2021-08-24,AAPL,146.986,2721.0,399948.90599999996,2021-08-30,150.609,409807.08900000004,969038.9604451522
10,2021-08-25,MA,359.398,1112.0,399650.576,2021-08-25,356.558,396492.496,993828.7220518
15,2021-08-27,LULU,403.76,965.0,389628.39999999997,2021-08-30,414.52,400011.8,969038.9604451522
16,2021-08-30,LULU,406.44,964.0,391808.16,2021-08-30,414.52,399597.27999999997,969038.9604451522
38,2021-08-30,WMB,22.7333,17239.0,391899.3587,2021-09-03,23.0108,396683.1812,965480.6145544341
47,2021-08-31,GM,48.9491,7918.0,387578.97380000004,2021-09-07,48.5011,384031.7098,930877.3179482338
40,2021-08-31,PANW,154.39,2510.0,387518.89999999997,2021-09-03,156.073,391743.23000000004,965480.6145544341
48,2021-08-31,WMB,22.5781,17167.0,387598.2427,2021-09-07,22.688,389484.896,930877.3179482338
55,2021-09-01,GM,48.8795,7776.0,380086.992,2021-09-08,48.7501,379080.77760000003,932941.0739026649
56,2021-09-01,OKE,48.6913,7806.0,380084.2878,2021-09-08,48.5527,379002.3762,932941.0739026649
54,2021-09-01,WMB,22.7526,16706.0,380104.9356,2021-09-08,22.8075,381022.09500000003,932941.0739026649
53,2021-09-02,EOG,60.5773,6141.0,372005.1993,2021-09-07,61.1843,375732.7863,930877.3179482338
58,2021-09-02,OKE,48.6633,7645.0,372030.9285,2021-09-09,48.5897,371468.2565,927091.5323408698
61,2021-09-09,BKNG,2306.28,161.0,371311.08,2021-09-09,2318.67,373305.87,927091.5323408698
59,2021-09-09,COP,52.6736,7084.0,373139.7824,2021-09-09,53.0843,376049.1812,927091.5323408698
62,2021-09-09,ORCL,87.7663,4251.0,373094.5413,2021-09-10,87.8445,373426.9695,894485.5976122909
64,2021-09-13,BAC,39.4861,9061.0,357783.55210000003,2021-09-13,39.8171,360782.7431,905577.993879914
79,2021-09-13,BKNG,2314.5,154.0,356433.0,2021-09-16,2345.0,361130.0,881787.842966714
63,2021-09-13,COP,54.0294,6622.0,357782.6868,2021-09-13,55.0046,364240.4612,905577.993879914
65,2021-09-13,JPM,152.76,2342.0,357763.92,2021-09-13,154.037,360754.65400000004,905577.993879914
68,2021-09-13,OKE,49.3222,7254.0,357783.2388,2021-09-13,49.5268,359267.4072,905577.993879914
67,2021-09-13,PRU,99.2982,3603.0,357771.41459999996,2021-09-13,99.6651,359093.3553,905577.993879914
69,2021-09-13,XOM,51.8677,6898.0,357783.3946,2021-09-13,52.5513,362498.8674,905577.993879914
86,2021-09-15,BAC,38.6407,8852.0,342047.47640000004,2021-09-17,39.389,348671.428,865781.4406635542
85,2021-09-15,COP,55.481,6165.0,342040.365,2021-09-17,56.2743,346931.0595,865781.4406635542
77,2021-09-15,CVX,92.5485,3695.0,341966.7075,2021-09-15,93.7414,346374.473,907143.9689146841
75,2021-09-15,EOG,64.3574,5314.0,341995.22359999997,2021-09-15,68.0911,361836.1054,907143.9689146841
80,2021-09-15,HAL,20.0517,17058.0,342041.8986,2021-09-16,20.2676,345724.7208,881787.842966714
87,2021-09-15,JPM,151.011,2265.0,342039.915,2021-09-17,151.945,344155.425,865781.4406635542
73,2021-09-15,XOM,52.5513,6508.0,342003.8604,2021-09-15,53.5481,348491.03479999996,907143.9689146841
