Date,Open,High,Low,Close,Volume,Quarter_Sin,Quarter_Cos,Pct_Price,Pct_PriceN,GARCH_Sig,EMA_SHORT,EMA_LONG,DEMA_SHORT,DEMA_LONG,MACD_HIST,RSI,PLUS_DI,MINUS_DI,EPS,Pct_Surprise,Pct_EPS,Pct_EPS_YTY,PCT_REALGDP,INFLATION,FFR,T10Y2Y,Label
2015-01-12,80.4747,80.8903,79.0422,79.4698,4227207.164095,0.0,1.0,-1.2828173038104351,0.29684001686132166,1.3914260346504617,80.29777237693183,81.22917892812069,79.85148460018245,81.04903269841529,-0.3902118316294925,40.32491696620611,6.804782451523381,24.495266292075176,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.36,0
2015-01-13,80.1666,81.2651,78.8796,79.6542,4432819.5307674,0.0,1.0,0.23203783072311968,0.7490324049480135,1.3856562326234532,80.0832482512879,81.07918093496633,79.64270698302568,80.7804790190456,-0.3793356735002869,48.85075739624451,8.042396173061098,21.091614132903416,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.37,0
2015-01-14,78.2995,79.5874,78.0223,79.5674,5332810.380797,0.0,1.0,-0.10897102726534769,-0.9002343997150275,1.3224142569816866,79.91129883419194,80.93520179830287,79.50297171061982,80.53468084596479,-0.3585813458961816,47.21797317489473,7.27778276610363,19.08637457576614,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.35,0
2015-01-15,79.8875,80.2055,78.3443,78.4131,4542905.0621877,0.0,1.0,-1.4507197671408179,-3.8338615046505153,1.282393942314051,79.41189922279463,80.69500162703594,78.80674806614834,80.11530156282187,-0.400031625889572,49.314400972113404,10.053013686056476,17.043757376757934,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.33,0
2015-01-16,78.2227,79.9473,78.0133,79.8875,4996774.6472384,0.0,1.0,1.8802980624410992,-0.7639514300798012,1.3341385439784854,79.57043281519643,80.61809671017537,79.27268777236677,80.02402553682212,-0.30962841077999065,47.653811362101706,8.952631908159578,15.178183467285104,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.34,0
2015-01-20,80.4547,80.9282,79.3112,80.3301,3713984.2836412,0.0,1.0,0.5540291034267009,1.0825495974571497,1.3911846388931781,79.82365521013095,80.59066845206343,79.79397344486752,80.02835944264255,-0.20646242503432655,41.55577208941742,8.130255653204006,21.157052397178592,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.29,0
2015-01-21,79.8705,80.4148,79.413,79.8157,3774493.2062741,0.0,1.0,-0.6403577239415759,0.2027513928958058,1.334180022352327,79.82100347342065,80.5168619328193,79.79944780543815,79.94132883545572,-0.16130804800023563,41.37684392416806,7.649119511477817,20.50636472371225,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.34,0
2015-01-22,79.4698,80.5903,78.6523,80.4447,5030813.4867879,0.0,1.0,0.788065505909219,1.1025872405030057,1.3090261560136525,80.02890231561376,80.50998936778889,80.15313109842084,79.98305091133719,-0.08154452001334589,42.437138406764554,7.807110230141877,18.20308250042579,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.37,0
2015-01-23,80.35,80.8713,79.8875,80.4547,5257153.9137458,0.0,1.0,0.01243089973610445,2.6036465845630463,1.2904743286906908,80.17083487707585,80.50472371371376,80.34827577325528,80.02320570895138,-0.023587260087237383,39.27167087270382,7.34427526199712,24.567248646549587,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.29,0
2015-01-26,80.3689,80.7477,79.0042,79.701,5706549.4558756,0.0,1.0,-0.9368004603833024,-0.2334532936942746,1.2647455748883043,80.0142232513839,80.42817859812197,80.02810943170888,79.92326434637297,-0.031019751579763444,36.61653554911465,6.580169049874809,22.011245959297728,0.87,11.5385,8.749999999999991,19.17808219178083,3.6,-0.543199001688326,0.11,1.29,0
